Curvature_Error,Curvature_AbsError,Curvature_True,RunID
-1.8722961248052172e-07,1.8722961248052172e-07,0.05,test 1
3.054812346831026e-07,3.054812346831026e-07,0.05,test 1
-2.1103784650366997e-08,2.1103784650366997e-08,0.05,test 1
2.425575976461314e-07,2.425575976461314e-07,0.05,test 1
1.0632718110137329e-07,1.0632718110137329e-07,0.05,test 1
2.1151958252974001e-07,2.1151958252974001e-07,0.05,test 1
5.665884211802918e-07,5.665884211802918e-07,0.05,test 1
-1.3831757856713756e-06,1.3831757856713756e-06,0.05,test 1
-3.788652104749768e-07,3.788652104749768e-07,0.05,test 1
6.328445906686464e-07,6.328445906686464e-07,0.05,test 1
-1.0891193798212573e-07,1.0891193798212573e-07,0.05,test 1
7.533782898361263e-07,7.533782898361263e-07,0.05,test 1
5.993452715929992e-07,5.993452715929992e-07,0.05,test 1
1.973996442694581e-08,1.973996442694581e-08,0.05,test 1
-3.207020172896202e-07,3.207020172896202e-07,0.05,test 1
-4.113255115678616e-08,4.113255115678616e-08,0.05,test 1
1.6700461656637966e-07,1.6700461656637966e-07,0.05,test 1
6.52842539472509e-08,6.52842539472509e-08,0.05,test 1
2.841073454343257e-07,2.841073454343257e-07,0.05,test 1
9.425283276076613e-09,9.425283276076613e-09,0.05,test 1
-1.1334653581066e-06,1.1334653581066e-06,0.05,test 1
7.957880334488743e-07,7.957880334488743e-07,0.05,test 1
-5.253853708336864e-07,5.253853708336864e-07,0.05,test 1
9.962572539434777e-07,9.962572539434777e-07,0.05,test 1
8.874267109562628e-07,8.874267109562628e-07,0.05,test 1
-3.9715820708552396e-08,3.9715820708552396e-08,0.05,test 1
-6.390927380361955e-08,6.390927380361955e-08,0.05,test 1
-2.422324991147029e-07,2.422324991147029e-07,0.05,test 1
5.893757848568493e-07,5.893757848568493e-07,0.05,test 1
2.87829562337083e-07,2.87829562337083e-07,0.05,test 1
5.132938405150167e-07,5.132938405150167e-07,0.05,test 1
2.2331688000198913e-07,2.2331688000198913e-07,0.05,test 1
1.62636509148939e-07,1.62636509148939e-07,0.05,test 1
-1.2700277228494539e-07,1.2700277228494539e-07,0.05,test 1
-2.2432655071707996e-07,2.2432655071707996e-07,0.05,test 1
-4.5294591838329623e-07,4.5294591838329623e-07,0.05,test 1
-8.587154241845862e-07,8.587154241845862e-07,0.05,test 1
1.1840828485695787e-06,1.1840828485695787e-06,0.05,test 1
-3.8979178420411875e-07,3.8979178420411875e-07,0.05,test 1
-3.325025832029427e-07,3.325025832029427e-07,0.05,test 1
-7.358113220806706e-08,7.358113220806706e-08,0.05,test 1
-5.646656015198537e-07,5.646656015198537e-07,0.05,test 1
4.040169872265853e-08,4.040169872265853e-08,0.05,test 1
4.370587100566148e-09,4.370587100566148e-09,0.05,test 1
2.409176868070628e-07,2.409176868070628e-07,0.05,test 1
9.24166474042254e-08,9.24166474042254e-08,0.05,test 1
3.755690888562757e-07,3.755690888562757e-07,0.05,test 1
6.336669332862588e-07,6.336669332862588e-07,0.05,test 1
-2.4519059912964103e-07,2.4519059912964103e-07,0.05,test 1
-7.153664692560735e-08,7.153664692560735e-08,0.05,test 1
2.5385860663584836e-08,2.5385860663584836e-08,0.05,test 1
-2.425326946081663e-07,2.425326946081663e-07,0.05,test 1
1.8142307427193582e-08,1.8142307427193582e-08,0.05,test 1
