FFT_200Hz,FFT_400Hz,FFT_600Hz,FFT_800Hz,FFT_1000Hz,FFT_1200Hz,FFT_1400Hz,FFT_1600Hz,FFT_1800Hz,FFT_2000Hz,Curvature,Timestamp
0.0023116588,0.0020340541,0.0026161857,0.0025557426,0.0016394706,0.0024777285,0.002819381,0.002312524,0.0023394122,0.002111099,0.01818181818181818,2025-05-05T14:20:11.977709
0.0022342904,0.0020860366,0.0026687512,0.0025372673,0.0016742875,0.00235521,0.0027718486,0.002296682,0.0024821034,0.0022955176,0.01818181818181818,2025-05-05T14:20:12.021023
0.0022555192,0.0020874094,0.0024105774,0.0025691572,0.0016381772,0.0021517498,0.0027640332,0.0022536693,0.0025093122,0.002258315,0.01818181818181818,2025-05-05T14:20:12.062589
0.002282497,0.0020398148,0.0024775371,0.002540952,0.0017025486,0.0022209962,0.002820322,0.0022665227,0.0025446895,0.002190717,0.01818181818181818,2025-05-05T14:20:12.104469
0.0022801766,0.001976442,0.0024572646,0.0025371998,0.0016780242,0.0023006913,0.002818914,0.0022189973,0.0025178469,0.002086153,0.01818181818181818,2025-05-05T14:20:12.146104
0.002314243,0.0019413646,0.0026474406,0.0025062757,0.0016747053,0.0024342749,0.002842459,0.0022005325,0.0025063667,0.0020972576,0.01818181818181818,2025-05-05T14:20:12.187806
0.0023817448,0.0018851156,0.0026397074,0.0025148583,0.001707354,0.0024510685,0.0028619978,0.0022100804,0.00252089,0.0018854602,0.01818181818181818,2025-05-05T14:20:12.249031
0.0024549225,0.0018535487,0.002682895,0.002531296,0.0017111101,0.0023175622,0.0028888753,0.002182757,0.0026099128,0.0018708033,0.01818181818181818,2025-05-05T14:20:12.290743
0.0025099013,0.0018551756,0.002571328,0.0025113286,0.0017405167,0.0022967332,0.00289989,0.0021530155,0.002602221,0.0017839222,0.01818181818181818,2025-05-05T14:20:12.332389
0.0024495365,0.0018827543,0.0025311762,0.0025160022,0.0017407758,0.002279011,0.002887692,0.0022291145,0.0025696186,0.0018892528,0.01818181818181818,2025-05-05T14:20:12.375061
0.0024190184,0.0018831472,0.0025134915,0.002470386,0.0017268442,0.0023242168,0.0028338411,0.0022978897,0.0025125595,0.002015478,0.01818181818181818,2025-05-05T14:20:12.416958
0.002341864,0.0019307471,0.0024728323,0.002496872,0.001756097,0.0023227467,0.0028602367,0.0023423256,0.0025372184,0.0020596758,0.01818181818181818,2025-05-05T14:20:12.458639
0.002246271,0.0019940904,0.0025818802,0.002476517,0.0017567358,0.002344735,0.0028319526,0.002311936,0.0024521695,0.0020633445,0.01818181818181818,2025-05-05T14:20:12.521039
0.0021663709,0.0019648843,0.0026706166,0.0025007203,0.0018202891,0.0024367436,0.0028532916,0.0023113568,0.002465679,0.002098066,0.01818181818181818,2025-05-05T14:20:12.562707
0.0021672912,0.0019776942,0.002625738,0.0025015147,0.0017665656,0.0024402698,0.0028302076,0.0022739114,0.0024730158,0.0022292004,0.01818181818181818,2025-05-05T14:20:12.603781
0.0020590296,0.0019961968,0.0025870418,0.0025266488,0.001742052,0.002438428,0.0028122384,0.0022744823,0.0024348057,0.0022155019,0.01818181818181818,2025-05-05T14:20:12.646116
0.0020830622,0.0019567057,0.0025353555,0.0024653624,0.0017485045,0.0024395972,0.0027760644,0.0022815908,0.002450413,0.0022234283,0.01818181818181818,2025-05-05T14:20:12.686170
